elapsed_seconds,timestamp,index,name,gpu_util_percent,mem_util_percent,mem_used_mib,mem_total_mib,power_w,temp_c
253.136385,2026/05/30 15:34:59.228,0,NVIDIA B200,98,32,17742,183359,793.50,45
254.163951,2026/05/30 15:35:00.253,0,NVIDIA B200,98,29,17742,183359,787.00,45
255.185480,2026/05/30 15:35:01.278,0,NVIDIA B200,98,27,17742,183359,787.69,46
256.208982,2026/05/30 15:35:02.300,0,NVIDIA B200,99,30,17742,183359,794.52,45
257.242470,2026/05/30 15:35:03.333,0,NVIDIA B200,98,29,17742,183359,794.81,45
258.264998,2026/05/30 15:35:04.357,0,NVIDIA B200,98,30,17742,183359,793.24,45
259.287403,2026/05/30 15:35:05.379,0,NVIDIA B200,98,30,17742,183359,797.31,45
260.313725,2026/05/30 15:35:06.402,0,NVIDIA B200,98,27,17742,183359,793.71,45
261.335665,2026/05/30 15:35:07.427,0,NVIDIA B200,98,30,17742,183359,790.70,46
262.392281,2026/05/30 15:35:08.484,0,NVIDIA B200,99,30,17742,183359,783.84,46
263.419243,2026/05/30 15:35:09.510,0,NVIDIA B200,98,30,17742,183359,796.20,45
264.444191,2026/05/30 15:35:10.535,0,NVIDIA B200,99,27,17742,183359,798.04,45
265.470237,2026/05/30 15:35:11.561,0,NVIDIA B200,99,28,17742,183359,813.24,45
266.492940,2026/05/30 15:35:12.584,0,NVIDIA B200,99,30,17742,183359,811.58,45
267.566565,2026/05/30 15:35:13.639,0,NVIDIA B200,98,30,17742,183359,786.47,45
268.681796,2026/05/30 15:35:14.725,0,NVIDIA B200,98,30,17742,183359,791.43,45
269.732232,2026/05/30 15:35:15.822,0,NVIDIA B200,99,31,17742,183359,791.68,45
270.759286,2026/05/30 15:35:16.849,0,NVIDIA B200,98,28,17742,183359,785.27,45
271.783607,2026/05/30 15:35:17.874,0,NVIDIA B200,98,31,17742,183359,790.31,44
272.810154,2026/05/30 15:35:18.899,0,NVIDIA B200,98,29,17742,183359,794.75,46
273.833770,2026/05/30 15:35:19.925,0,NVIDIA B200,99,30,17742,183359,795.58,45
274.856082,2026/05/30 15:35:20.948,0,NVIDIA B200,98,30,17742,183359,792.53,45
275.883256,2026/05/30 15:35:21.973,0,NVIDIA B200,98,30,17742,183359,788.70,45
276.904230,2026/05/30 15:35:22.996,0,NVIDIA B200,98,29,17742,183359,786.20,45
277.927290,2026/05/30 15:35:24.018,0,NVIDIA B200,98,30,17742,183359,786.98,45
278.954713,2026/05/30 15:35:25.046,0,NVIDIA B200,99,28,17742,183359,802.10,45
279.975560,2026/05/30 15:35:26.068,0,NVIDIA B200,99,28,17742,183359,812.24,46
280.998817,2026/05/30 15:35:27.089,0,NVIDIA B200,98,30,17742,183359,806.43,44
282.026087,2026/05/30 15:35:28.111,0,NVIDIA B200,98,28,17742,183359,798.33,45
283.046380,2026/05/30 15:35:29.139,0,NVIDIA B200,98,30,17742,183359,790.54,45
284.067666,2026/05/30 15:35:30.159,0,NVIDIA B200,99,30,17742,183359,786.38,45
285.092545,2026/05/30 15:35:31.182,0,NVIDIA B200,98,28,17742,183359,787.00,45
286.114066,2026/05/30 15:35:32.205,0,NVIDIA B200,99,31,17742,183359,786.64,45
287.137590,2026/05/30 15:35:33.228,0,NVIDIA B200,98,30,17742,183359,793.07,43
288.160642,2026/05/30 15:35:34.253,0,NVIDIA B200,98,32,17742,183359,795.02,45
