timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz]
2026/05/28 20:33:36.615, 93 %, 61 %, 3330 MiB, 8192 MiB, 104.43 W, 86, 1425 MHz, 7000 MHz
2026/05/28 20:33:37.633, 92 %, 61 %, 3330 MiB, 8192 MiB, 105.86 W, 86, 1350 MHz, 7000 MHz
2026/05/28 20:33:38.725, 96 %, 61 %, 3330 MiB, 8192 MiB, 106.86 W, 86, 1335 MHz, 7000 MHz
2026/05/28 20:33:39.814, 97 %, 60 %, 3330 MiB, 8192 MiB, 106.41 W, 86, 1380 MHz, 7000 MHz
2026/05/28 20:33:40.902, 95 %, 61 %, 3330 MiB, 8192 MiB, 106.93 W, 86, 1410 MHz, 7000 MHz
2026/05/28 20:33:41.995, 95 %, 62 %, 3330 MiB, 8192 MiB, 107.17 W, 86, 1365 MHz, 7000 MHz
2026/05/28 20:33:43.082, 94 %, 62 %, 3330 MiB, 8192 MiB, 105.94 W, 86, 1320 MHz, 7000 MHz
2026/05/28 20:33:44.106, 96 %, 63 %, 3330 MiB, 8192 MiB, 110.39 W, 86, 1380 MHz, 7000 MHz
2026/05/28 20:33:45.111, 96 %, 62 %, 3330 MiB, 8192 MiB, 106.38 W, 86, 1395 MHz, 7000 MHz
2026/05/28 20:33:46.144, 96 %, 62 %, 3330 MiB, 8192 MiB, 106.33 W, 86, 1545 MHz, 7000 MHz
2026/05/28 20:33:47.233, 96 %, 62 %, 3330 MiB, 8192 MiB, 106.81 W, 86, 1320 MHz, 7000 MHz
2026/05/28 20:33:48.317, 91 %, 60 %, 3330 MiB, 8192 MiB, 105.51 W, 86, 1365 MHz, 7000 MHz
2026/05/28 20:33:49.400, 93 %, 61 %, 3330 MiB, 8192 MiB, 106.18 W, 86, 1395 MHz, 7000 MHz
2026/05/28 20:33:50.486, 95 %, 58 %, 3330 MiB, 8192 MiB, 106.72 W, 86, 1290 MHz, 7000 MHz
2026/05/28 20:33:51.571, 96 %, 62 %, 3330 MiB, 8192 MiB, 106.31 W, 86, 1335 MHz, 7000 MHz
2026/05/28 20:33:52.596, 94 %, 61 %, 3330 MiB, 8192 MiB, 106.53 W, 86, 1365 MHz, 7000 MHz
